"mcp_tool_name","family","review_lane","special_case","selection_state","installed_acceptance","source_head"
"helix_minecraft_workflow_control","minecraft","safety_or_status","split_resume_from_cancel_and_stop","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_minecraft_workflow_status","minecraft","safety_or_status","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_public_ui_catalog","public","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_realtime_texture_pack_control","realtime","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_realtime_texture_pack_inspect","realtime","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_realtime_texture_pack_visual_direction_control","realtime","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_reasoning_destination_register","reasoning","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_reasoning_pairing_accept","reasoning","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_reasoning_pairing_recover","reasoning","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_reasoning_prompt_submit","reasoning","bridge_or_solver_unresolved","existing_task_bridge_unproven","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_reasoning_steering_acknowledge","reasoning","bridge_or_solver_unresolved","existing_task_bridge_unproven","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_reasoning_steering_read","reasoning","bridge_or_solver_unresolved","existing_task_bridge_unproven","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_reasoning_task_binding_claim","reasoning","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_bind_run","room","hosted_context_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_claim_chat_binding","room","hosted_context_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_command_request","room","unavailable_placeholder","current_501_disabled","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_consent_grant","room","hosted_context_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_consent_revoke","room","safety_or_status","safety_after_expiry","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_create","room","hosted_context_candidate","personal_context_split_review","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_floor_acquire","room","hosted_context_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_floor_inspect","room","hosted_context_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_floor_release","room","safety_or_status","safety_after_expiry","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_inspect","room","hosted_context_candidate","personal_context_split_review","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_list","room","hosted_context_candidate","personal_context_split_review","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_presence_set","room","hosted_context_candidate","current_minecraft_action_scopes","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_source_create","room","hosted_context_candidate","current_external_oauth_source_ingress_denied","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_source_list","room","hosted_context_candidate","current_external_oauth_source_ingress_denied","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_unbind_chat","room","safety_or_status","safety_after_expiry","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_room_unbind_run","room","safety_or_status","safety_after_expiry","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_run_cancel","run","safety_or_status","owner_scope_after_expiry","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_run_continue","run","bridge_or_solver_unresolved","solver_provider_cost_unresolved","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_run_evidence_reenter","run","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_run_fetch_evidence","run","safety_or_status","owner_scope_after_expiry","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_run_inspect","run","safety_or_status","owner_scope_after_expiry","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_run_list_events","run","safety_or_status","owner_scope_after_expiry","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_run_start","run","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_surface_blank","surface","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_surface_configure","surface","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_surface_inspect","surface","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_surface_list","surface","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_surface_prepare_panel_route","surface","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_surface_release","surface","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_visual_sequence_get_contact_sheet","visual","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_visual_sequence_get_frames","visual","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_visual_sequence_inspect_manifest","visual","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_visual_sequence_list","visual","specialist_unqualified","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
"helix_workstation_human_control_present","workstation","personal_candidate","","unselected","not_run","256554ca2637b2978a83616d9f9670069fdfd8c4"
